x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20,x21,y21,x22,y22,x23,y23,x24,y24,x25,y25,x26,y26,x27,y27,x28,y28,x29,y29,x30,y30,x31,y31,x32,y32,x33,y33,x34,y34,x35,y35,x36,y36,x37,y37,x38,y38,x39,y39,x40,y40,x41,y41,x42,y42,x43,y43,x44,y44,x45,y45,x46,y46,x47,y47,x48,y48,x49,y49,x50,y50,x51,y51,x52,y52,x53,y53,x54,y54,x55,y55,x56,y56,x57,y57,x58,y58,x59,y59,x60,y60,x61,y61,x62,y62,x63,y63,x64,y64,x65,y65,x66,y66,x67,y67,smiling
-2.326,0.901,-2.222,0.463,-2.117,-0.0,-1.934,-0.463,-1.647,-0.828,-1.228,-1.096,-0.732,-1.242,-0.209,-1.315,0.314,-1.291,0.81,-1.096,1.228,-0.804,1.542,-0.463,1.751,-0.049,1.803,0.414,1.751,0.901,1.647,1.364,1.516,1.802,-1.986,1.413,-1.856,1.681,-1.568,1.851,-1.228,1.875,-0.889,1.827,-0.261,1.973,0.0,2.168,0.34,2.314,0.706,2.289,0.967,2.119,-0.47,1.607,-0.392,1.315,-0.314,1.047,-0.235,0.804,-0.549,0.414,-0.34,0.39,-0.131,0.39,0.078,0.487,0.261,0.609,-1.516,1.242,-1.359,1.413,-1.15,1.461,-0.941,1.388,-1.098,1.315,-1.307,1.266,0.052,1.632,0.209,1.802,0.418,1.851,0.653,1.778,0.47,1.681,0.261,1.632,-0.706,-0.268,-0.444,-0.122,-0.209,-0.024,0.0,-0.0,0.157,0.073,0.444,0.097,0.732,0.073,0.497,-0.097,0.288,-0.219,0.078,-0.292,-0.131,-0.317,-0.418,-0.317,-0.627,-0.244,-0.183,-0.122,0.026,-0.097,0.209,-0.024,0.653,0.073,0.209,-0.049,0.026,-0.122,-0.183,-0.146,1
-2.374,1.335,-2.226,0.861,-2.028,0.387,-1.83,-0.086,-1.583,-0.517,-1.187,-0.818,-0.742,-1.076,-0.247,-1.248,0.297,-1.248,0.791,-1.076,1.138,-0.732,1.435,-0.387,1.632,0.043,1.731,0.517,1.682,0.99,1.682,1.507,1.583,1.98,-2.028,1.593,-1.83,1.808,-1.484,1.894,-1.088,1.851,-0.791,1.808,0.0,1.98,0.297,2.152,0.594,2.282,0.94,2.368,1.237,2.239,-0.297,1.636,-0.247,1.335,-0.198,1.033,-0.148,0.732,-0.445,0.43,-0.247,0.387,-0.049,0.387,0.099,0.43,0.297,0.517,-1.533,1.335,-1.336,1.464,-1.039,1.55,-0.791,1.464,-1.039,1.335,-1.286,1.291,0.198,1.636,0.445,1.808,0.693,1.851,0.94,1.808,0.791,1.679,0.495,1.593,-0.643,-0.215,-0.396,-0.086,-0.148,-0.0,0.0,-0.0,0.198,0.043,0.445,0.043,0.693,-0.0,0.495,-0.215,0.297,-0.344,0.099,-0.387,-0.099,-0.387,-0.346,-0.344,-0.495,-0.215,-0.148,-0.172,0.049,-0.129,0.247,-0.086,0.594,-0.043,0.247,-0.086,0.049,-0.172,-0.148,-0.172,0
-2.442,0.924,-2.363,0.457,-2.243,-0.018,-2.075,-0.475,-1.836,-0.887,-1.449,-1.207,-0.963,-1.399,-0.427,-1.49,0.119,-1.509,0.606,-1.39,1.013,-1.17,1.34,-0.869,1.519,-0.485,1.568,-0.055,1.578,0.393,1.559,0.823,1.499,1.244,-1.817,1.646,-1.578,1.81,-1.281,1.893,-0.963,1.874,-0.675,1.792,0.218,1.856,0.467,1.975,0.745,2.03,1.013,1.984,1.211,1.838,-0.149,1.417,-0.099,1.152,-0.06,0.905,-0.01,0.649,-0.457,0.293,-0.238,0.265,0.0,0.247,0.208,0.283,0.387,0.347,-1.41,1.207,-1.191,1.344,-0.943,1.362,-0.725,1.216,-0.933,1.152,-1.181,1.143,0.338,1.28,0.546,1.445,0.784,1.463,0.983,1.353,0.804,1.262,0.566,1.244,-0.834,-0.311,-0.546,-0.101,-0.218,0.018,0.0,-0.0,0.208,0.055,0.496,-0.027,0.745,-0.21,0.556,-0.421,0.298,-0.558,0.06,-0.594,-0.189,-0.594,-0.516,-0.503,-0.735,-0.311,-0.208,-0.183,0.01,-0.174,0.228,-0.146,0.645,-0.21,0.268,-0.32,0.04,-0.347,-0.189,-0.357,1
-1.332,1.655,-1.418,1.231,-1.433,0.782,-1.418,0.333,-1.318,-0.09,-1.117,-0.487,-0.874,-0.859,-0.573,-1.206,-0.129,-1.36,0.372,-1.334,0.874,-1.129,1.347,-0.859,1.777,-0.526,2.077,-0.115,2.249,0.372,2.364,0.872,2.421,1.36,-1.332,2.116,-1.089,2.245,-0.759,2.193,-0.458,2.078,-0.186,1.937,0.659,1.86,1.032,1.95,1.418,1.975,1.805,1.924,2.077,1.731,0.172,1.501,0.1,1.154,0.029,0.821,-0.043,0.487,-0.458,0.423,-0.258,0.295,-0.029,0.205,0.258,0.244,0.501,0.321,-1.017,1.629,-0.759,1.719,-0.473,1.68,-0.229,1.475,-0.516,1.462,-0.802,1.501,0.716,1.36,1.032,1.501,1.318,1.488,1.576,1.334,1.304,1.257,1.003,1.283,-0.745,0.077,-0.487,0.077,-0.201,0.064,0.0,-0.0,0.229,0.026,0.602,-0.038,0.946,-0.115,0.602,-0.436,0.215,-0.603,-0.057,-0.603,-0.301,-0.539,-0.559,-0.295,-0.645,0.026,-0.215,-0.051,0.0,-0.103,0.229,-0.103,0.845,-0.128,0.229,-0.346,-0.014,-0.346,-0.244,-0.282,1
-2.292,1.196,-2.193,0.717,-2.027,0.269,-1.827,-0.209,-1.561,-0.598,-1.163,-0.956,-0.731,-1.225,-0.266,-1.405,0.266,-1.375,0.731,-1.196,1.063,-0.807,1.296,-0.389,1.495,0.06,1.528,0.538,1.495,1.016,1.462,1.495,1.362,1.943,-2.159,1.524,-1.894,1.704,-1.595,1.793,-1.229,1.793,-0.93,1.764,-0.033,1.943,0.233,2.092,0.532,2.182,0.831,2.212,1.13,2.152,-0.365,1.495,-0.299,1.166,-0.199,0.837,-0.1,0.538,-0.532,0.269,-0.299,0.239,-0.066,0.239,0.133,0.329,0.332,0.448,-1.694,1.255,-1.495,1.405,-1.229,1.435,-0.963,1.315,-1.196,1.225,-1.462,1.196,0.133,1.524,0.332,1.734,0.565,1.764,0.831,1.704,0.631,1.584,0.365,1.524,-1.03,-0.179,-0.664,-0.09,-0.266,-0.0,0.0,-0.0,0.233,0.09,0.532,0.179,0.831,0.239,0.664,-0.209,0.399,-0.478,0.1,-0.598,-0.199,-0.628,-0.598,-0.508,-0.93,-0.209,-0.266,-0.149,0.0,-0.12,0.266,-0.03,0.764,0.179,0.332,-0.299,0.066,-0.418,-0.199,-0.448,1
-3.501,0.918,-3.405,0.393,-3.261,-0.175,-3.021,-0.7,-2.589,-1.093,-2.014,-1.312,-1.343,-1.443,-0.719,-1.53,-0.144,-1.53,0.24,-1.355,0.384,-1.049,0.48,-0.7,0.527,-0.306,0.575,0.087,0.575,0.481,0.48,0.831,0.336,1.18,-2.11,1.53,-1.774,1.749,-1.439,1.88,-1.055,1.924,-0.719,1.88,-0.144,1.836,0.0,1.924,0.192,1.924,0.336,1.88,0.432,1.749,-0.336,1.443,-0.192,1.224,-0.048,1.093,0.144,0.874,-0.527,0.393,-0.288,0.35,-0.048,0.35,0.096,0.393,0.192,0.437,-1.726,1.224,-1.439,1.355,-1.247,1.399,-1.055,1.268,-1.247,1.18,-1.439,1.18,-0.192,1.268,-0.048,1.355,0.144,1.355,0.24,1.224,0.144,1.18,-0.048,1.18,-0.815,-0.35,-0.48,-0.131,-0.144,0.044,0.0,-0.0,0.144,0.044,0.288,-0.131,0.288,-0.35,0.24,-0.481,0.144,-0.568,0.0,-0.612,-0.192,-0.568,-0.48,-0.525,-0.719,-0.35,-0.144,-0.175,0.0,-0.175,0.096,-0.175,0.24,-0.306,0.096,-0.35,0.0,-0.35,-0.192,-0.35,0
-2.313,1.139,-2.23,0.704,-2.118,0.269,-1.979,-0.145,-1.784,-0.559,-1.477,-0.932,-1.087,-1.263,-0.613,-1.512,-0.056,-1.574,0.446,-1.408,0.808,-1.056,1.087,-0.663,1.338,-0.269,1.505,0.124,1.617,0.538,1.645,0.953,1.617,1.346,-1.868,1.636,-1.589,1.781,-1.254,1.843,-0.92,1.822,-0.585,1.719,0.307,1.802,0.585,1.926,0.864,1.988,1.143,1.947,1.338,1.822,-0.056,1.284,0.0,1.015,0.028,0.746,0.084,0.476,-0.39,0.29,-0.167,0.249,0.056,0.207,0.279,0.269,0.446,0.331,-1.394,1.18,-1.171,1.305,-0.864,1.305,-0.641,1.16,-0.892,1.098,-1.171,1.118,0.418,1.201,0.613,1.388,0.892,1.429,1.115,1.305,0.948,1.201,0.669,1.18,-1.003,-0.269,-0.697,-0.062,-0.279,0.021,0.0,-0.0,0.251,0.041,0.557,-0.0,0.753,-0.186,0.585,-0.642,0.279,-0.932,-0.028,-0.994,-0.334,-0.973,-0.753,-0.746,-0.892,-0.269,-0.279,-0.104,0.0,-0.104,0.251,-0.083,0.641,-0.207,0.251,-0.746,-0.028,-0.808,-0.334,-0.787,1
-1.562,1.432,-1.562,0.979,-1.475,0.527,-1.388,0.151,-1.215,-0.301,-0.955,-0.678,-0.694,-0.979,-0.26,-1.281,0.174,-1.356,0.781,-1.281,1.215,-1.055,1.649,-0.753,1.909,-0.301,2.169,0.075,2.256,0.603,2.256,1.055,2.256,1.582,-1.475,1.733,-1.388,1.959,-1.041,1.959,-0.781,1.959,-0.521,1.959,0.347,1.959,0.694,2.034,1.041,2.034,1.388,2.034,1.649,1.808,-0.087,1.582,-0.087,1.281,-0.087,1.055,-0.174,0.753,-0.521,0.452,-0.347,0.377,-0.087,0.377,0.174,0.377,0.434,0.452,-1.215,1.432,-0.955,1.582,-0.781,1.582,-0.521,1.432,-0.781,1.432,-0.955,1.432,0.521,1.507,0.781,1.658,1.041,1.658,1.302,1.507,1.041,1.432,0.781,1.432,-0.781,-0.151,-0.521,-0.0,-0.26,-0.0,0.0,-0.0,0.174,0.075,0.607,-0.0,1.041,-0.075,0.694,-0.377,0.347,-0.603,0.0,-0.603,-0.26,-0.603,-0.521,-0.452,-0.694,-0.151,-0.26,-0.151,0.0,-0.151,0.26,-0.151,0.868,-0.075,0.26,-0.301,0.0,-0.377,-0.26,-0.301,1
-2.469,1.59,-2.469,1.076,-2.443,0.561,-2.365,0.047,-2.184,-0.421,-1.846,-0.842,-1.352,-1.169,-0.832,-1.403,-0.286,-1.52,0.208,-1.426,0.546,-1.146,0.832,-0.818,1.066,-0.444,1.222,-0.047,1.326,0.374,1.378,0.772,1.404,1.192,-1.638,1.847,-1.352,2.034,-0.988,2.128,-0.624,2.104,-0.312,1.987,0.65,1.824,0.884,1.894,1.118,1.894,1.326,1.824,1.43,1.637,0.156,1.403,0.156,1.122,0.182,0.842,0.234,0.561,-0.39,0.397,-0.182,0.304,0.078,0.234,0.286,0.257,0.468,0.327,-1.222,1.45,-0.936,1.543,-0.676,1.543,-0.468,1.356,-0.702,1.333,-0.962,1.356,0.442,1.286,0.676,1.403,0.91,1.403,1.092,1.263,0.91,1.216,0.676,1.216,-1.014,-0.047,-0.624,0.047,-0.208,0.07,0.0,-0.0,0.208,0.023,0.416,-0.047,0.546,-0.164,0.364,-0.491,0.13,-0.678,-0.13,-0.701,-0.39,-0.631,-0.754,-0.421,-0.936,-0.047,-0.26,-0.047,-0.026,-0.094,0.182,-0.094,0.468,-0.187,0.13,-0.468,-0.104,-0.468,-0.338,-0.421,1
-2.062,1.604,-1.972,1.151,-1.86,0.698,-1.748,0.245,-1.569,-0.189,-1.277,-0.566,-0.896,-0.906,-0.448,-1.189,0.09,-1.264,0.627,-1.151,1.053,-0.83,1.412,-0.472,1.681,-0.057,1.837,0.396,1.905,0.887,1.95,1.359,1.972,1.849,-1.837,1.812,-1.613,2.0,-1.277,2.057,-0.919,2.057,-0.583,2.0,0.157,2.057,0.515,2.17,0.896,2.227,1.255,2.208,1.546,2.038,-0.157,1.698,-0.134,1.359,-0.112,1.019,-0.09,0.679,-0.493,0.51,-0.291,0.453,-0.067,0.396,0.157,0.472,0.359,0.547,-1.345,1.623,-1.143,1.755,-0.896,1.774,-0.672,1.642,-0.896,1.585,-1.143,1.566,0.381,1.68,0.583,1.849,0.852,1.849,1.076,1.736,0.874,1.661,0.627,1.642,-0.717,-0.0,-0.448,0.019,-0.179,0.038,0.0,-0.0,0.202,0.057,0.448,0.057,0.739,0.075,0.493,-0.151,0.224,-0.264,0.0,-0.302,-0.202,-0.283,-0.471,-0.189,-0.605,-0.019,-0.202,-0.075,0.0,-0.094,0.202,-0.057,0.627,0.038,0.202,-0.094,0.0,-0.132,-0.202,-0.113,1
-2.461,1.865,-2.498,1.332,-2.461,0.766,-2.314,0.233,-2.094,-0.266,-1.726,-0.666,-1.286,-1.032,-0.771,-1.265,-0.257,-1.299,0.147,-1.165,0.478,-0.799,0.771,-0.433,1.065,-0.067,1.249,0.366,1.396,0.799,1.433,1.232,1.396,1.665,-1.726,2.031,-1.396,2.098,-1.029,2.098,-0.698,2.031,-0.367,1.898,0.588,1.865,0.808,1.964,1.029,2.064,1.249,2.164,1.433,2.098,0.147,1.532,0.184,1.199,0.22,0.866,0.257,0.533,-0.367,0.4,-0.147,0.3,0.11,0.233,0.331,0.3,0.514,0.433,-1.322,1.632,-1.029,1.765,-0.735,1.731,-0.514,1.532,-0.771,1.465,-1.065,1.498,0.404,1.565,0.624,1.731,0.918,1.765,1.102,1.665,0.918,1.532,0.661,1.498,-1.102,0.067,-0.624,0.067,-0.22,0.067,0.0,-0.0,0.184,0.067,0.404,0.1,0.514,0.1,0.367,-0.2,0.184,-0.433,-0.037,-0.499,-0.294,-0.466,-0.735,-0.3,-0.992,0.033,-0.22,-0.1,0.0,-0.1,0.184,-0.067,0.441,0.033,0.184,-0.166,-0.037,-0.233,-0.257,-0.2,1
